Provincia,X1,X2,X3,X4,X8,Y1,Y2,Y3,Y4,Y5,Y6,Y7
A,2.7229593,68.64126599,15.37337445,28.59107278,38.8021702,3400,44200,11000,28500,12800,12200,13570.00
B,4.2870821,12.62307498,12.38490376,29.29506081,34.7729990,1400,2900,16800,33800,26900,10200,31270.00
U,2.1322265,53.12797623,18.65698162,32.33876814,32.6941392,3900,30900,15700,30800,18700,14900,19000.00
C,2.6756712,27.29184616,12.04052036,21.40536954,19.7999668,4900,28700,19500,34300,12500,15800,28070.00
X,5.7292988,32.84115928,11.86783326,20.05254585,29.6695832,2800,25600,24000,27500,20000,8800,29870.00
H,2.4808971,67.27047885,15.36247815,31.58372837,36.8317799,1300,19300,13900,32900,32400,5600,43170.00
O,12.1550651,95.07496322,52.74180546,37.86232922,44.2891452,4900,47200,15300,25800,6800,21100,14030.00
E,11.3351255,74.10126835,32.65192875,28.67617577,38.5732630,10400,24000,22800,34200,8500,25800,46130.00
G,9.3220776,144.5035982,72.41134567,22.1655756,22.3821031,3100,45000,21800,23700,5400,21000,17400.00
I,5.2492667,61.94134679,10.70850402,30.6557174,30.4457467,6800,31600,16300,33900,11100,16800,27130.00
L,1.7269368,27.82287002,2.782287002,20.24353646,41.2546004,3600,26900,16700,30800,22000,10600,27600.00
R,12.0421410,98.88659015,125.1406273,26.41676874,23.3248677,2800,31900,27000,30700,7600,22500,26630.00
M,7.2339491,30.98434842,31.14439154,21.34975248,24.5186063,2300,30100,24400,31600,11500,17600,25130.00
V,5.3910100,3.234605971,3.234605971,3.234605971,139.0880568,1300,15700,14800,29000,39200,6400,58030.00
N,1.3817308,34.88870159,5.526923024,53.54206679,1.3817308,2200,18900,20600,26400,31800,10400,54900.00
S,7.8807727,47.7224567,4.81602774,71.8025954,88.4397821,1900,22400,16200,28000,31300,5800,56500.00
P,4.8633416,141.7338835,46.20174566,43.10407582,27.3524247,8000,53000,12500,21000,4500,16500,9530.00
T,2.8784287,72.04537758,8.465966813,24.63596343,26.7524551,2200,32900,15300,30200,19000,7100,23100.00
Z,1.6609088,12.04158916,1.660908849,36.53999469,56.4709009,3100,27400,17200,29900,22400,11400,38130.00
W,0.0000000,3.026451183,0,42.37031657,60.5290237,2100,65200,25700,17600,5300,11600,3700.00
K,13.0150150,46.42022013,28.41611606,53.57847837,69.8472471,4700,27100,16100,33400,18500,18600,43470.00
Q,5.5783510,52.0646097,30.68093072,59.50241109,58.2627775,1800,20300,11000,29700,37100,8500,52700.00
J,5.2821965,69.74455689,76.20057478,44.21394069,38.3448335,2800,37200,22600,28800,7500,20100,20870.00
Y,1.9941273,84.62577709,24.55269232,25.67438892,23.9295275,2800,33900,25000,31300,6500,26400,26070.00