Provincia,X1,X2,X3,X4,X5,X6,X7,X8
A,6.693941642,70.57002884,66.71250315,23.14515415,7.601594747,58.65708185,22.80478424,34.37736132
B,3.334397165,18.57735563,6.66879433,16.67198582,8.097821686,16.19564337,10.9558764,47.63424521
U,14.57021422,81.37997697,24.87597549,25.23134657,12.08261667,48.33046667,23.45449118,41.2230451
C,3.210805431,46.55667874,8.027013576,3.210805431,20.8702353,19.26483258,18.19456411,24.61617497
X,9.617037298,46.24362616,19.43869241,11.25397982,12.48168671,25.78184467,14.32324704,25.78184467
H,2.862573568,88.1672659,46.3736918,16.03041198,14.69454432,49.23626537,25.76316211,37.40429462
O,20.39815522,180.6494158,9.500510652,83.2691816,22.21442932,53.51022912,29.33981231,46.38484613
E,25.54632767,138.220859,9.9816777,58.87498033,6.428877163,72.24027759,18.94826953,38.404082
G,27.19129222,232.1174518,56.88974467,75.12363719,69.69905416,38.01766591,22.24534888,22.08580232
I,3.989442675,94.27682953,29.60586406,13.22815203,8.188856017,48.71319477,22.25689071,39.05454408
L,1.918818622,39.33578175,16.30995828,3.261991657,2.302582346,48.35422927,9.594093109,30.89297981
R,21.37208805,184.971625,12.80155528,195.9288884,54.35236606,35.47549641,24.19276972,28.64076775
M,12.48336352,52.55816127,9.410535575,34.05717637,28.23160672,33.22495213,17.66876067,25.03074428
V,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971
N,3.45432689,55.26923024,14.50817294,8.981249914,2.072596134,42.83365343,22.79855747,84.28557611
S,7.005131259,77.05644385,18.38846955,5.253848444,4.378207037,84.93721651,31.52309066,112.0821001
P,4.956271744,185.4265166,98.04125043,39.06161668,53.34187464,53.24894455,52.31964359,33.88850805
T,3.555706062,84.82898747,59.26176769,4.740941416,12.19099221,47.40941416,22.18083305,27.0910938
Z,4.982726548,22.42226947,1.660908849,1.660908849,1.660908849,34.87908584,17.43954292,55.64044645
W,0,6.052902367,0,0,0,24.21160947,33.29096302,51.44967012
K,17.35335332,79.39159143,13.44884882,49.45705696,7.37517516,65.07507494,24.29469465,82.8622621
Q,6.817984604,92.97251732,11.15670208,54.54387683,6.817984604,126.4426236,40.90790762,78.09691455
J,13.89022031,117.1865065,22.30260725,63.77763127,88.62351829,55.75651813,38.73610733,49.69177406
Y,11.46623195,145.3220266,23.92952754,31.65677081,17.44861383,68.29885986,22.43393207,28.91484578