Provincia,X1_100k,X2_100k,X3_100k,X4_100k,X5_100k,X6_100k,X7_100k,X8_100k,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9
A,6.693941642,70.57002884,66.71250315,23.14515415,7.601594747,58.65708185,22.80478424,34.37736132,5.1,38.8,10.9,12.6,17.6,4.2,13.4,28.1,7
B,3.334397165,18.57735563,6.66879433,16.67198582,8.097821686,16.19564337,10.9558764,47.63424521,1.1,17,26.2,12.9,42.5,17.3,31.2,53.5,28.4
U,14.57021422,81.37997697,24.87597549,25.23134657,12.08261667,48.33046667,23.45449118,41.2230451,4,26.8,18.5,15.8,24.7,6.8,24.2,38.8,15.4
C,3.210805431,46.55667874,8.027013576,3.210805431,20.8702353,19.26483258,18.19456411,24.61617497,6.3,24.7,9.8,21.5,35.7,13.3,22,35.7,10.6
X,9.617037298,46.24362616,19.43869241,11.25397982,12.48168671,25.78184467,14.32324704,25.78184467,2.8,25.6,20,8.8,26,10.4,24.2,53.2,26.4
H,2.862573568,88.1672659,46.3736918,16.03041198,14.69454432,49.23626537,25.76316211,37.40429462,2.3,16.1,26.7,5.8,40.1,15.9,24.4,62.1,37.1
O,20.39815522,180.6494158,9.500510652,83.2691816,22.21442932,53.51022912,29.33981231,46.38484613,6.9,37.2,6.8,20.8,21,6.2,24.1,28.8,6.4
E,25.54632767,138.220859,9.9816777,58.87498033,6.428877163,72.24027759,18.94826953,38.404082,10,21.7,10.6,24.8,52.9,25.3,57.6,63.2,36.5
G,27.19129222,232.1174518,56.88974467,75.12363719,69.69905416,38.01766591,22.24534888,22.08580232,3.9,37.4,6,22.9,25.8,7.2,37.9,38.2,14.4
I,3.989442675,94.27682953,29.60586406,13.22815203,8.188856017,48.71319477,22.25689071,39.05454408,6,30.1,11.9,20.7,34.9,11.5,25.3,35.1,13.4
L,1.918818622,39.33578175,16.30995828,3.261991657,2.302582346,48.35422927,9.594093109,30.89297981,4.1,26,19.6,12.3,31.4,12.8,32.3,44.5,21.9
R,21.37208805,184.971625,12.80155528,195.9288884,54.35236606,35.47549641,24.19276972,28.64076775,2.8,28.6,8.8,21.5,32.8,8.4,50.5,56.5,23.2
M,12.48336352,52.55816127,9.410535575,34.05717637,28.23160672,33.22495213,17.66876067,25.03074428,2.6,26.9,10.7,21.2,32.6,9.2,45.8,49.9,21.6
V,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,3.234605971,1.4,13.9,31.8,8.4,70.5,43.4,68.7,82.4,65.9
N,3.45432689,55.26923024,14.50817294,8.981249914,2.072596134,42.83365343,22.79855747,84.28557611,2.3,14.2,30.4,8.6,59.4,42.3,43.8,76,55.4
S,7.005131259,77.05644385,18.38846955,5.253848444,4.378207037,84.93721651,31.52309066,112.0821001,2,18.9,32.8,4.4,52,37.3,60.3,72.6,59.3
P,4.956271744,185.4265166,98.04125043,39.06161668,53.34187464,53.24894455,52.31964359,33.88850805,10.8,43.6,4.8,18.9,19.3,6.9,9.8,15.7,3
T,3.555706062,84.82898747,59.26176769,4.740941416,12.19099221,47.40941416,22.18083305,27.0910938,3.1,24.5,18.1,7.1,23.3,8,10.5,38,12
Z,4.982726548,22.42226947,1.660908849,1.660908849,1.660908849,34.87908584,17.43954292,55.64044645,3,30.8,21.5,13,30.1,11.2,26.6,49.6,29.9
W,0,6.052902367,0,0,0,24.21160947,33.29096302,51.44967012,9.3,36,4.8,14.1,8.6,2.5,16.9,15.9,2.9
K,17.35335332,79.39159143,13.44884882,49.45705696,7.37517516,65.07507494,24.29469465,82.8622621,5.4,24.8,22.4,19.7,50.9,29.4,60,63,41.7
Q,6.817984604,92.97251732,11.15670208,54.54387683,6.817984604,126.4426236,40.90790762,78.09691455,2.6,17.6,30.2,8.1,55.6,37.5,67.6,79.6,62.8
J,13.89022031,117.1865065,22.30260725,63.77763127,88.62351829,55.75651813,38.73610733,49.69177406,3.7,32.2,10.8,19.7,26.5,7.4,34.1,41.3,14.3
Y,11.46623195,145.3220266,23.92952754,31.65677081,17.44861383,68.29885986,22.43393207,28.91484578,3.6,30.3,4.8,25.3,34.3,9,34.7,42,10.1